VIX_Threshold,Sell_Strike,Number of Trades,Total Return,Max Drawdown,Risk/Reward Ratio,Winrate (%),DTE,Spread_Cost_Interval
21-22,20.0,50,5058.000000000002,-104.4,48.44827586206898,96.0,2; 6; 7; 8; 9; 12; 13; 14; 15; 16; 19; 20; 21; 22; 25; 26; 27; 28,-198.0 to -21.0
22-23,20.0,67,8598.099999999997,-160.1,53.70455965021859,95.52238805970148,1; 2; 5; 6; 7; 8; 9; 12; 13; 14; 15; 16; 19; 21; 22; 23; 26; 27; 28; 29; 30,-270.0 to -24.0
23-24,20.0,47,5901.099999999999,-290.49999999999983,20.313597246127376,89.36170212765957,1; 2; 6; 7; 8; 9; 11; 12; 14; 15; 16; 19; 20; 23; 26; 28; 29,-314.0 to -35.0
24-25,20.0,44,8424.199999999997,-88.4,95.29638009049769,95.45454545454545,1; 2; 5; 7; 8; 9; 11; 13; 14; 15; 16; 20; 21; 23; 26; 27; 28; 29; 30,-374.0 to -50.0
20-21,21.0,46,7500.800000000001,-166.20000000000002,45.13116726835138,86.95652173913044,12; 13; 14; 15; 16; 18; 21; 22; 23; 25; 26; 27; 28; 29,-109.0 to 72.0
21-22,21.0,55,6253.500000000001,-148.89999999999986,41.99798522498325,87.27272727272727,4; 8; 9; 13; 14; 15; 19; 20; 21; 23; 25; 26; 28; 29; 30,-119.0 to -3.999999999999993
22-23,21.0,73,6627.899999999999,-234.20000000000016,28.300170794192972,91.78082191780823,1; 2; 6; 7; 8; 9; 11; 12; 13; 14; 15; 16; 18; 19; 20; 21; 22; 23; 26; 27; 28; 29; 30,-210.00000000000009 to -18.0
23-24,21.0,55,5829.499999999999,-159.50000000000006,36.54858934169277,90.9090909090909,1; 2; 6; 7; 8; 9; 13; 14; 15; 16; 18; 20; 21; 23; 26; 27; 28; 29,-255.0 to -19.0
24-25,21.0,45,6988.499999999999,-130.40000000000015,53.592791411042874,95.55555555555556,1; 2; 5; 7; 8; 9; 13; 14; 21; 23; 26; 27; 28; 29; 30,-350.00000000000006 to -29.0
25-26,21.0,27,4861.100000000001,-32.69999999999989,148.6574923547406,96.29629629629629,1; 2; 4; 7; 8; 9; 12; 13; 15; 21; 26; 27; 29; 30,-386.00000000000006 to -95.0
21-22,22.0,30,3647.9999999999995,-71.80000000000005,50.80779944289689,86.66666666666667,4; 6; 8; 12; 13; 14; 19; 20; 23; 26; 28; 30,-39.99999999999994 to 78.0
22-23,22.0,55,5053.500000000001,-189.5999999999999,26.653481012658247,85.45454545454545,7; 8; 9; 11; 13; 14; 16; 19; 20; 21; 22; 23; 26; 27; 29; 30,-40.000000000000014 to -3.0000000000000027
23-24,22.0,65,6690.499999999997,-212.30000000000018,31.51436646255295,86.15384615384616,1; 6; 7; 8; 9; 11; 12; 13; 14; 15; 16; 18; 19; 20; 23; 27; 28; 29,-191.0 to -19.0
24-25,22.0,48,4877.399999999998,-103.40000000000013,47.170212765957366,95.83333333333334,1; 2; 5; 7; 8; 9; 12; 14; 15; 21; 23; 26; 27; 28; 29; 30,-290.0 to -29.0
25-26,22.0,31,4776.300000000001,-22.399999999999885,213.22767857142972,93.54838709677419,1; 2; 6; 7; 8; 9; 12; 13; 15; 20; 22; 26; 27; 29; 30,-343.0 to -48.0
26-27,22.0,27,3953.1,-7.699999999999957,513.3896103896133,96.29629629629629,1; 2; 5; 7; 8; 9; 12; 13; 14; 15; 16; 19; 21; 28,-341.0 to -92.0
23-24,23.0,45,6342.499999999999,-105.89999999999984,59.89140698772435,84.44444444444444,7; 8; 9; 15; 16; 18; 20; 23; 26; 27; 28; 29,-64.99999999999999 to -1.0000000000000009
24-25,23.0,63,4787.899999999999,-106.90000000000018,44.788587464920404,88.88888888888889,1; 2; 5; 6; 7; 8; 9; 11; 12; 13; 14; 15; 16; 19; 21; 23; 26; 27; 28; 29; 30,-198.0 to -26.0
25-26,23.0,38,5010.4000000000015,-99.80000000000004,50.20440881763526,89.47368421052632,1; 2; 7; 8; 9; 12; 13; 14; 15; 16; 20; 22; 26; 27; 29; 30,-286.00000000000006 to -29.0
26-27,23.0,33,4904.900000000001,-7.699999999999957,637.0000000000036,96.96969696969697,1; 2; 5; 7; 8; 9; 12; 13; 14; 15; 16; 19; 23; 27; 28,-376.0 to -64.0
24-25,24.0,31,4440.299999999999,-32.09999999999997,138.3271028037384,90.32258064516128,9; 13; 15; 19; 21; 23; 26; 27; 28; 29; 30,-49.0 to -5.000000000000004
25-26,24.0,37,3752.1,-50.099999999999966,74.89221556886233,91.8918918918919,1; 2; 8; 9; 12; 13; 14; 15; 18; 22; 23; 26; 27; 29; 30,-193.00000000000003 to -28.0
26-27,24.0,38,5686.399999999997,-128.4000000000001,44.286604361370664,94.73684210526315,2; 5; 6; 7; 8; 9; 12; 13; 14; 15; 16; 19; 23; 27; 28,-300.0 to -62.0
26-27,25.0,38,4783.399999999997,-68.10000000000007,70.24082232011736,92.10526315789474,2; 5; 6; 7; 8; 9; 12; 13; 14; 15; 16; 19; 21; 23; 27; 28,-197.0 to -35.0
27-28,25.0,40,5098.999999999998,-91.40000000000009,55.78774617067826,95.0,1; 2; 5; 6; 7; 8; 11; 13; 14; 15; 16; 19; 20; 22; 27; 29; 30,-325.0 to -32.99999999999999
27-28,26.0,41,5223.299999999999,-130.80000000000007,39.93348623853208,90.2439024390244,1; 2; 5; 6; 7; 8; 9; 11; 12; 13; 14; 15; 16; 19; 20; 22; 27; 29; 30,-214.0 to -22.000000000000004
28-29,26.0,28,3469.3999999999996,-59.69999999999983,58.113902847571346,96.42857142857143,1; 6; 7; 8; 9; 14; 20; 21; 22; 23; 25; 26; 28; 29,-268.99999999999994 to -32.0
27-28,27.0,34,5509.2,-65.80000000000004,83.7264437689969,88.23529411764706,6; 7; 8; 9; 11; 13; 14; 15; 16; 19; 20; 22; 29; 30,-40.99999999999999 to -3.999999999999981
