File,VIX_Threshold,Sell_Strike,Number of Trades,Total Return,Max Drawdown,Risk/Reward Ratio,Winrate (%),DTE,Spread_Cost_Interval
vix_put_spread_results_threshold_28-29_strike_15.0.csv,28-29,15.0,35,9069.499999999998,-554.0000000000001,16.37093862815884,85.71428571428571,1.0; 5.0; 6.0; 7.0; 8.0; 9.0; 12.0; 14.0; 16.0; 19.0; 20.0; 21.0; 22.0; 23.0; 26.0; 30.0,-643.0000000000001 to -95.5
vix_put_spread_results_threshold_13-14_strike_16.0.csv,13-14,16.0,35,3073.5,-643.8000000000003,4.7739981360670996,74.28571428571429,9.0; 12.0; 16.0; 22.0; 23.0; 29.0; 30.0,122.5 to 261.00000000000006
vix_put_spread_results_threshold_14-15_strike_16.0.csv,14-15,16.0,66,5170.799999999999,-1010.8000000000005,5.1155520379897075,71.21212121212122,9.0; 13.0; 15.0; 16.0; 18.0; 19.0; 20.0; 21.0; 22.0; 23.0; 25.0; 27.0; 30.0,37.500000000000014 to 168.5
vix_put_spread_results_threshold_15-16_strike_16.0.csv,15-16,16.0,111,10447.299999999994,-642.7999999999998,16.252800248911008,82.88288288288288,6.0; 11.0; 13.0; 14.0; 15.0; 17.0; 19.0; 20.0; 21.0; 22.0; 23.0; 24.0; 25.0; 26.0; 27.0; 28.0; 30.0,0.0 to 127.5
vix_put_spread_results_threshold_16-17_strike_16.0.csv,16-17,16.0,206,19996.799999999996,-83.3,240.05762304921964,76.2135922330097,6.0; 7.0; 8.0; 10.0; 11.0; 12.0; 13.0; 14.0; 15.0; 16.0; 18.0; 19.0; 20.0; 21.0; 22.0; 23.0; 25.0; 26.0; 27.0; 28.0; 29.0; 30.0,0.0 to 0.0
vix_put_spread_results_threshold_17-18_strike_16.0.csv,17-18,16.0,228,21547.399999999998,-213.90000000000012,100.73585787751279,94.73684210526315,1.0; 2.0; 5.0; 6.0; 7.0; 8.0; 9.0; 11.0; 12.0; 13.0; 14.0; 15.0; 16.0; 18.0; 19.0; 20.0; 21.0; 22.0; 23.0; 25.0; 26.0; 27.0; 28.0; 29.0; 30.0,-150.5 to -4.500000000000001
vix_put_spread_results_threshold_18-19_strike_16.0.csv,18-19,16.0,176,22322.8,-546.6,40.83937065495792,92.61363636363636,1.0; 5.0; 6.0; 7.0; 8.0; 9.0; 11.0; 12.0; 13.0; 14.0; 15.0; 16.0; 19.0; 20.0; 21.0; 22.0; 23.0; 26.0; 27.0; 28.0; 29.0; 30.0,-202.50000000000003 to -8.0
vix_put_spread_results_threshold_19-20_strike_16.0.csv,19-20,16.0,171,23023.8,-765.9000000000001,30.061104582843708,90.05847953216374,1.0; 2.0; 4.0; 5.0; 6.0; 7.0; 8.0; 9.0; 12.0; 13.0; 14.0; 15.0; 16.0; 19.0; 20.0; 21.0; 22.0; 23.0; 26.0; 27.0; 28.0; 29.0; 30.0,-309.5 to -19.0
vix_put_spread_results_threshold_20-21_strike_16.0.csv,20-21,16.0,123,18754.4,-720.7000000000002,26.0224781462467,91.05691056910568,1.0; 2.0; 4.0; 5.0; 6.0; 7.0; 8.0; 9.0; 10.0; 11.0; 12.0; 13.0; 14.0; 15.0; 16.0; 17.0; 19.0; 20.0; 21.0; 22.0; 23.0; 27.0; 28.0; 29.0; 30.0,-317.5 to -20.0
vix_put_spread_results_threshold_21-22_strike_16.0.csv,21-22,16.0,112,22187.600000000002,-651.6000000000001,34.05095150399018,92.85714285714286,1.0; 2.0; 5.0; 6.0; 7.0; 8.0; 9.0; 11.0; 12.0; 13.0; 14.0; 15.0; 16.0; 19.0; 20.0; 21.0; 22.0; 23.0; 26.0; 27.0; 28.0; 29.0; 30.0,-414.5 to -42.0
